originreportzone,destreportzone,departtime,trippurpose,modeprimary,tripfactor
845,845,1330,41,1,6.98
845,840,1500,80,1,6.98
840,845,445,10,1,15.43
845,840,1400,80,1,15.43
840,845,1000,41,1,2.89
845,840,1145,80,1,2.89
100,100,1000,41,3,3.33
100,100,1200,80,3,3.33
140,300,1300,10,3,26.1
300,140,2230,80,3,26.1
140,140,1300,10,3,26.1
140,140,2230,80,3,26.1
100,100,1700,41,2,65.68
100,100,1930,80,2,65.68
100,600,800,10,3,65.68
600,100,1630,80,3,65.68
120,100,800,46,1,4.18
100,100,1000,44,1,4.18
100,300,1130,41,1,4.18
300,120,1230,80,1,4.18
120,120,1330,43,1,4.18
120,120,1350,80,1,4.18
300,300,730,52,1,27.68
300,120,745,10,1,27.68
120,300,1630,80,1,27.68
300,300,730,30,2,27.68
300,300,1430,80,2,27.68
300,300,1415,51,1,27.68
300,300,1430,80,1,27.68
100,50,920,44,7,6.3
50,100,945,80,7,6.3
100,100,1200,41,7,6.3
100,100,1215,80,7,6.3
100,50,1730,44,7,6.3
50,100,1800,80,7,6.3
300,300,745,52,7,19.04
300,300,800,80,7,19.04
300,300,1620,41,1,19.04
300,300,1645,41,1,19.04
300,300,1700,41,1,19.04
300,300,1715,80,1,19.04
300,300,745,52,7,19.04
300,300,800,80,7,19.04
300,300,1030,41,1,19.04
300,300,1100,80,1,19.04
300,300,1830,41,1,19.04
300,300,1900,80,1,19.04
300,300,1400,41,1,47.97
300,300,1440,41,1,47.97
300,300,1620,80,1,47.97
140,140,1620,80,1,5.09
425,425,700,44,7,18.47
425,50,730,20,2,18.47
50,1,830,44,7,18.47
1,50,945,20,7,18.47
50,600,1730,46,7,18.47
600,50,1830,41,7,18.47
50,425,2115,80,4,18.47
425,425,730,44,1,18.47
425,425,745,30,1,18.47
425,425,1125,52,1,18.47
425,425,1130,80,1,18.47
425,200,1330,43,1,18.47
200,425,1415,80,1,18.47
425,425,1915,44,1,18.47
425,425,1930,80,1,18.47
425,425,2030,41,1,18.47
425,425,2045,80,1,18.47
425,425,1200,41,2,18.47
425,425,1245,80,2,18.47
425,425,1600,41,1,18.47
425,425,1630,80,1,18.47
820,100,1000,41,1,14.39
100,820,1230,41,1,14.39
820,820,1530,80,1,14.39
840,840,800,10,1,12.67
840,840,1630,80,1,12.67
840,800,1500,41,1,3.0
800,800,1600,41,1,3.0
800,840,1730,80,1,3.0
840,840,1200,41,1,4.6
840,840,1240,80,1,4.6
840,840,1200,41,2,4.6
840,840,1240,80,2,4.6
840,625,610,10,1,1.82
625,840,1700,80,1,1.82
840,840,735,10,1,1.82
840,840,1520,80,1,1.82
840,840,1300,40,1,6.57
840,840,1305,80,1,6.57
840,840,1600,40,1,6.57
840,840,1605,80,1,6.57
840,50,800,10,1,8.8
50,800,1700,41,1,8.8
800,840,2000,80,1,8.8
840,500,800,30,7,10.02
500,840,1515,80,7,10.02
840,625,1100,10,1,4.92
625,840,1200,80,1,4.92
840,840,745,30,18,66.39
840,840,1515,80,18,66.39
840,800,930,41,1,9.64
800,840,1400,80,1,9.64
840,800,930,41,2,9.64
800,840,1400,80,2,9.64
840,840,1200,41,1,7.3
840,840,1300,80,1,7.3
840,845,1800,46,1,3.0
845,840,2200,80,1,3.0
840,50,1230,43,1,19.27
840,840,1700,80,1,7.9
840,800,800,11,1,42.14
800,800,855,10,1,42.14
800,840,1650,80,1,42.14
840,840,2140,80,2,3.38
840,840,2140,80,1,3.38
840,840,1430,44,1,10.28
840,840,1715,80,1,10.28
845,840,1545,80,1,16.96
840,845,800,10,1,60.24
845,840,1600,80,1,60.24
840,800,530,10,1,60.24
800,840,1745,80,1,60.24
840,845,715,30,18,60.24
845,840,1600,80,18,60.24
840,845,715,30,18,60.24
845,840,1600,80,18,60.24
840,845,715,30,18,60.24
845,840,1600,80,18,60.24
840,800,800,12,1,45.86
800,845,1000,52,1,45.86
845,800,1015,12,1,45.86
800,845,1300,51,1,45.86
845,840,1630,80,1,45.86
840,820,600,10,2,45.86
820,840,1930,80,2,45.86
840,800,800,888,2,45.86
800,845,1000,10,2,45.86
845,840,1630,80,2,45.86
840,600,1020,41,1,1.93
600,840,1203,80,1,1.93
840,600,600,20,1,1.93
840,820,720,10,1,3.42
820,840,1830,80,1,3.42
750,200,545,10,1,29.46
200,750,2130,80,1,29.46
840,840,1100,10,1,4.32
840,840,1715,80,1,4.32
840,840,730,10,1,3.81
840,840,1700,80,1,3.81
840,840,800,10,1,16.84
840,800,900,41,1,16.84
800,840,1345,80,1,16.84
840,845,930,46,1,6.98
845,845,1300,44,1,6.98
50,800,1400,41,1,19.27
800,840,1530,80,1,19.27
840,840,930,41,1,3.42
840,840,1030,80,1,3.42
840,840,1600,41,1,7.9
425,425,1200,41,1,18.47
425,425,1230,80,1,18.47
200,200,1400,41,1,13.46
200,200,1445,80,1,13.46
200,200,1500,41,7,13.46
200,200,1530,80,7,13.46
425,180,800,10,1,18.64
180,140,1930,46,1,18.64
140,425,2200,80,1,18.64
425,425,745,30,18,18.64
425,425,1415,80,18,18.64
425,425,745,30,18,18.64
425,425,1415,80,18,18.64
425,360,1915,46,2,18.64
360,425,2130,80,2,18.64
425,425,845,30,18,18.64
425,425,1600,80,18,18.64
300,300,745,41,2,13.05
300,300,900,41,2,13.05
300,300,920,80,2,13.05
300,300,745,41,1,13.05
300,300,920,80,1,13.05
300,300,830,44,1,10.7
300,300,915,80,1,10.7
300,300,1100,43,1,10.7
300,300,1200,80,1,10.7
180,180,1130,41,1,7.05
180,180,1200,80,1,7.05
180,180,1130,41,2,7.05
180,180,1200,80,2,7.05
180,240,600,10,4,6.81
240,180,1430,41,4,6.81
180,180,1615,80,1,6.81
1,1,2000,44,7,39.78
1,50,2330,80,7,39.78
50,180,1030,46,11,39.78
50,1,1700,46,7,39.78
1,50,2025,80,7,39.78
50,50,900,10,14,39.78
50,50,1620,80,14,39.78
50,180,1700,46,11,39.78
100,100,1015,41,1,5.16
100,100,1040,80,1,5.16
500,500,915,44,7,31.9
500,500,1100,80,7,31.9
500,500,1630,11,1,31.9
500,500,2130,80,1,31.9
500,500,1700,11,1,31.9
500,500,2130,80,1,31.9
500,500,1100,40,1,41.55
500,500,1200,80,1,41.55
500,500,1400,10,1,41.55
500,500,1800,80,1,41.55
300,600,730,10,4,18.68
600,300,1600,80,4,18.68
425,50,700,10,1,8.73
50,425,1645,80,1,8.73
425,400,1815,41,1,8.73
400,425,1930,80,1,8.73
425,180,500,41,1,8.73
180,180,515,10,1,8.73
180,400,1545,41,1,8.73
400,425,1600,80,1,8.73
100,450,900,46,1,3.8
450,100,1430,80,1,3.8
140,140,650,10,1,22.4
140,140,1610,41,1,22.4
140,140,1630,80,1,22.4
140,180,1000,12,11,22.4
180,140,2700,80,11,22.4
200,200,830,41,1,12.07
