originreportzone,destreportzone,departtime,trippurpose,modeprimary
845,845,1330,41,1
845,840,1500,80,1
840,845,445,10,1
845,840,1400,80,1
840,845,1000,41,1
845,840,1145,80,1
100,100,1000,41,3
100,100,1200,80,3
140,300,1300,10,3
300,140,2230,80,3
140,140,1300,10,3
140,140,2230,80,3
100,100,1700,41,2
100,100,1930,80,2
100,600,800,10,3
600,100,1630,80,3
120,100,800,46,1
100,100,1000,44,1
100,300,1130,41,1
300,120,1230,80,1
120,120,1330,43,1
120,120,1350,80,1
300,300,730,52,1
300,120,745,10,1
120,300,1630,80,1
300,300,730,30,2
300,300,1430,80,2
300,300,1415,51,1
300,300,1430,80,1
100,50,920,44,7
50,100,945,80,7
100,100,1200,41,7
100,100,1215,80,7
100,50,1730,44,7
50,100,1800,80,7
300,300,745,52,7
300,300,800,80,7
300,300,1620,41,1
300,300,1645,41,1
300,300,1700,41,1
300,300,1715,80,1
300,300,745,52,7
300,300,800,80,7
300,300,1030,41,1
300,300,1100,80,1
300,300,1830,41,1
300,300,1900,80,1
300,300,1400,41,1
300,300,1440,41,1
300,300,1620,80,1
140,140,1620,80,1
425,425,700,44,7
425,50,730,20,2
50,1,830,44,7
1,50,945,20,7
50,600,1730,46,7
600,50,1830,41,7
50,425,2115,80,4
425,425,730,44,1
425,425,745,30,1
425,425,1125,52,1
425,425,1130,80,1
425,200,1330,43,1
200,425,1415,80,1
425,425,1915,44,1
425,425,1930,80,1
425,425,2030,41,1
425,425,2045,80,1
425,425,1200,41,2
425,425,1245,80,2
425,425,1600,41,1
425,425,1630,80,1
820,100,1000,41,1
100,820,1230,41,1
820,820,1530,80,1
840,840,800,10,1
840,840,1630,80,1
840,800,1500,41,1
800,800,1600,41,1
800,840,1730,80,1
840,840,1200,41,1
840,840,1240,80,1
840,840,1200,41,2
840,840,1240,80,2
840,625,610,10,1
625,840,1700,80,1
840,840,735,10,1
840,840,1520,80,1
840,840,1300,40,1
840,840,1305,80,1
840,840,1600,40,1
840,840,1605,80,1
840,50,800,10,1
50,800,1700,41,1
800,840,2000,80,1
840,500,800,30,7
500,840,1515,80,7
840,625,1100,10,1
625,840,1200,80,1
840,840,745,30,18
840,840,1515,80,18
840,800,930,41,1
800,840,1400,80,1
840,800,930,41,2
800,840,1400,80,2
840,840,1200,41,1
840,840,1300,80,1
840,845,1800,46,1
845,840,2200,80,1
840,50,1230,43,1
840,840,1700,80,1
840,800,800,11,1
800,800,855,10,1
800,840,1650,80,1
840,840,2140,80,2
840,840,2140,80,1
840,840,1430,44,1
840,840,1715,80,1
845,840,1545,80,1
840,845,800,10,1
845,840,1600,80,1
840,800,530,10,1
